-DOCSTART-	-docstart-	XX	O

EU	eu	NNP	U-ORG
rejects	reject	VBZ	O
German	german	JJ	U-MISC
call	call	NN	O
to	to	TO	O
boycott	boycott	VB	O
British	british	JJ	U-MISC
lamb	lamb	NN	O
.	.	.	O

Peter	peter	NNP	B-PER
Blackburn	blackburn	NNP	L-PER

BRUSSELS	brussels	NNP	U-LOC
1996-08-22	0	CD	O

The	the	DT	O
European	european	NNP	B-ORG
Commission	commission	NNP	L-ORG
said	say	VBD	O
on	on	IN	O
Thursday	thursday	NNP	O
it	it	PRP	O
disagreed	disagree	VBD	O
with	with	IN	O
German	german	JJ	U-MISC
advice	advice	NN	O
to	to	IN	O
consumers	consumer	NNS	O
to	to	TO	O
shun	shun	VB	O
British	british	JJ	U-MISC
lamb	lamb	NN	O
until	until	IN	O
scientists	scientist	NNS	O
determine	determine	VBP	O
whether	whether	IN	O
mad	mad	JJ	O
cow	cow	NN	O
disease	disease	NN	O
can	can	MD	O
be	be	VB	O
transmitted	transmit	VBN	O
to	to	IN	O
sheep	sheep	NN	O
.	.	.	O

Germany	germany	NNP	U-LOC
's	's	POS	O
representative	representative	NN	O
to	to	IN	O
the	the	DT	O
European	european	NNP	B-ORG
Union	union	NNP	L-ORG
's	's	POS	O
veterinary	veterinary	JJ	O
committee	committee	NN	O
Werner	werner	NNP	B-PER
Zwingmann	zwingmann	NNP	L-PER
said	say	VBD	O
on	on	IN	O
Wednesday	wednesday	NNP	O
consumers	consumer	NNS	O
should	should	MD	O
buy	buy	VB	O
sheepmeat	sheepmeat	NN	O
from	from	IN	O
countries	country	NNS	O
other	other	JJ	O
than	than	IN	O
Britain	britain	NNP	U-LOC
until	until	IN	O
the	the	DT	O
scientific	scientific	JJ	O
advice	advice	NN	O
was	be	VBD	O
clearer	clear	JJR	O
.	.	.	O

"	"	``	O
We	we	PRP	O
do	do	VBP	O
n't	not	RB	O
support	support	VB	O
any	any	DT	O
such	such	JJ	O
recommendation	recommendation	NN	O
because	because	IN	O
we	we	PRP	O
do	do	VBP	O
n't	not	RB	O
see	see	VB	O
any	any	DT	O
grounds	ground	NNS	O
for	for	IN	O
it	it	PRP	O
,	,	,	O
"	"	''	O
the	the	DT	O
Commission	commission	NNP	U-ORG
's	's	POS	O
chief	chief	JJ	O
spokesman	spokesman	NN	O
Nikolaus	nikolaus	NNP	B-PER
van	van	NNP	I-PER
der	der	NNP	I-PER
Pas	pas	NNP	L-PER
told	tell	VBD	O
